date,rate,currency,base
1/1/2025,0.021871,CLF,USD
1/1/2025,0.306704,KWD,USD
1/1/2025,0.376,BHD,USD
1/1/2025,0.384497,OMR,USD
1/1/2025,0.709,JOD,USD
1/1/2025,0.727367,XDR,USD
1/1/2025,0.742016,FKP,USD
1/1/2025,0.742016,GGP,USD
1/1/2025,0.742016,GIP,USD
1/1/2025,0.742016,IMP,USD
1/1/2025,0.742016,JEP,USD
1/1/2025,0.742016,SHP,USD
1/1/2025,0.742017,GBP,USD
1/1/2025,0.775885,CHF,USD
1/1/2025,0.833333,KYD,USD
1/1/2025,0.849238,EUR,USD
1/1/2025,1,USD,USD
1/1/2025,1,BMD,USD
1/1/2025,1,BSD,USD
1/1/2025,1,PAB,USD
1/1/2025,1.267892,BND,USD
1/1/2025,1.267892,SGD,USD
1/1/2025,1.368325,CAD,USD
1/1/2025,1.415036,KID,USD
1/1/2025,1.415036,TVD,USD
1/1/2025,1.415042,AUD,USD
1/1/2025,1.645409,BGN,USD
1/1/2025,1.660964,BAM,USD
1/1/2025,1.674568,NZD,USD
1/1/2025,1.70114,AZN,USD
1/1/2025,1.79,ANG,USD
1/1/2025,1.79,AWG,USD
1/1/2025,1.79,XCG,USD
1/1/2025,2,BBD,USD
1/1/2025,2,BZD,USD
1/1/2025,2.19658,FJD,USD
1/1/2025,2.36102,TOP,USD
1/1/2025,2.675699,GEL,USD
1/1/2025,2.685744,WST,USD
1/1/2025,2.7,XCD,USD
1/1/2025,2.856494,BYN,USD
1/1/2025,2.869949,TND,USD
1/1/2025,3.12571,ILS,USD
1/1/2025,3.357835,PEN,USD
1/1/2025,3.499984,TMT,USD
1/1/2025,3.584799,PLN,USD
1/1/2025,3.64,QAR,USD
1/1/2025,3.6725,AED,USD
1/1/2025,3.75,SAR,USD
1/1/2025,3.904187,MYR,USD
1/1/2025,4.331594,RON,USD
1/1/2025,4.334138,PGK,USD
1/1/2025,5.214159,BRL,USD
1/1/2025,6.309079,LYD,USD
1/1/2025,6.336891,FOK,USD
1/1/2025,6.336892,DKK,USD
1/1/2025,6.398579,HRK,USD
1/1/2025,6.752101,TTD,USD
1/1/2025,6.901452,CNH,USD
1/1/2025,6.924226,CNY,USD
1/1/2025,6.940242,BOB,USD
1/1/2025,7.684123,GTQ,USD
1/1/2025,7.814823,HKD,USD
1/1/2025,7.960413,SBD,USD
1/1/2025,8.049267,MOP,USD
1/1/2025,9.064329,SEK,USD
1/1/2025,9.166742,MAD,USD
1/1/2025,9.390341,TJS,USD
1/1/2025,9.541676,NOK,USD
1/1/2025,10.967993,GHS,USD
1/1/2025,13.609743,BWP,USD
1/1/2025,13.875248,SCR,USD
1/1/2025,15,ERN,USD
1/1/2025,15.461054,MVR,USD
1/1/2025,16.078974,LSL,USD
1/1/2025,16.078974,NAD,USD
1/1/2025,16.078974,SZL,USD
1/1/2025,16.079081,ZAR,USD
1/1/2025,17.078774,MDL,USD
1/1/2025,17.171075,MXN,USD
1/1/2025,18.817496,ZMW,USD
1/1/2025,20.586135,CZK,USD
1/1/2025,20.806317,STN,USD
1/1/2025,24,CUP,USD
1/1/2025,24.455372,SLE,USD
1/1/2025,25.5384,ZWG,USD
1/1/2025,25.5384,ZWL,USD
1/1/2025,26.499845,HNL,USD
1/1/2025,31.181157,THB,USD
1/1/2025,31.538255,TWD,USD
1/1/2025,36.868971,NIO,USD
1/1/2025,37.719144,SRD,USD
1/1/2025,38.809648,UYU,USD
1/1/2025,40.007857,MRU,USD
1/1/2025,43.30399,UAH,USD
1/1/2025,43.863286,TRY,USD
1/1/2025,46.294283,MUR,USD
1/1/2025,47.551592,EGP,USD
1/1/2025,52.399289,MKD,USD
1/1/2025,58.082763,PHP,USD
1/1/2025,61.680478,DOP,USD
1/1/2025,62.904711,AFN,USD
1/1/2025,63.566886,MZN,USD
1/1/2025,74.121585,GMD,USD
1/1/2025,76.827629,RUB,USD
1/1/2025,81.771589,ALL,USD
1/1/2025,87.445847,KGS,USD
1/1/2025,90.963772,BTN,USD
1/1/2025,90.97147,INR,USD
1/1/2025,93.641164,CVE,USD
1/1/2025,99.713133,RSD,USD
1/1/2025,101.3412,XPF,USD
1/1/2025,114.081388,SYP,USD
1/1/2025,118.665876,VUV,USD
1/1/2025,122.265987,BDT,USD
1/1/2025,123.114577,ISK,USD
1/1/2025,128.972179,KES,USD
1/1/2025,130.057024,DZD,USD
1/1/2025,131.27553,HTG,USD
1/1/2025,145.542035,NPR,USD
1/1/2025,154.853271,ETB,USD
1/1/2025,155.142068,JPY,USD
1/1/2025,156.074498,JMD,USD
1/1/2025,177.721,DJF,USD
1/1/2025,185.939296,LRD,USD
1/1/2025,209.233373,GYD,USD
1/1/2025,238.655171,YER,USD
1/1/2025,279.926948,PKR,USD
1/1/2025,309.299403,LKR,USD
1/1/2025,322.619982,HUF,USD
1/1/2025,376.973964,AMD,USD
1/1/2025,405.3518,VES,USD
1/1/2025,417.797424,KMF,USD
1/1/2025,482.13856,CRC,USD
1/1/2025,492.715249,KZT,USD
1/1/2025,508.876436,SDG,USD
1/1/2025,557.063232,XAF,USD
1/1/2025,557.063232,XOF,USD
1/1/2025,570.820515,SOS,USD
1/1/2025,864.50335,CLP,USD
1/1/2025,921.259103,AOA,USD
1/1/2025,"1,310.75",IQD,USD
1/1/2025,"1,346.19",NGN,USD
1/1/2025,"1,447.95",KRW,USD
1/1/2025,"1,452.25",ARS,USD
1/1/2025,"1,461.88",RWF,USD
1/1/2025,"1,744.80",MWK,USD
1/1/2025,"2,105.71",MMK,USD
1/1/2025,"2,281.70",CDF,USD
1/1/2025,"2,578.95",TZS,USD
1/1/2025,"2,972.95",BIF,USD
1/1/2025,"3,540.05",MNT,USD
1/1/2025,"3,566.32",UGX,USD
1/1/2025,"3,676.84",COP,USD
1/1/2025,"4,018.27",KHR,USD
1/1/2025,"4,324.00",MGA,USD
1/1/2025,"4,582.89",SSP,USD
1/1/2025,"6,536.21",PYG,USD
1/1/2025,"8,763.96",GNF,USD
1/1/2025,"12,205.51",UZS,USD
1/1/2025,"16,878.67",IDR,USD
1/1/2025,"21,646.89",LAK,USD
1/1/2025,"24,455.37",SLL,USD
1/1/2025,"25,903.90",VND,USD
1/1/2025,"89,500",LBP,USD
1/1/2025,"1,284,674.49",IRR,USD
1/2/2025,0.021871,CLF,USD
1/2/2025,0.306704,KWD,USD
1/2/2025,0.376,BHD,USD
1/2/2025,0.384497,OMR,USD
1/2/2025,0.709,JOD,USD
1/2/2025,0.727367,XDR,USD
1/2/2025,0.742016,FKP,USD
1/2/2025,0.742016,GGP,USD
1/2/2025,0.742016,GIP,USD
1/2/2025,0.742016,IMP,USD
1/2/2025,0.742016,JEP,USD
1/2/2025,0.742016,SHP,USD
1/2/2025,0.742017,GBP,USD
1/2/2025,0.775885,CHF,USD
1/2/2025,0.833333,KYD,USD
1/2/2025,0.849238,EUR,USD
1/2/2025,1,USD,USD
1/2/2025,1,BMD,USD
1/2/2025,1,BSD,USD
1/2/2025,1,PAB,USD
1/2/2025,1.267892,BND,USD
1/2/2025,1.267892,SGD,USD
1/2/2025,1.368325,CAD,USD
1/2/2025,1.415036,KID,USD
1/2/2025,1.415036,TVD,USD
1/2/2025,1.415042,AUD,USD
1/2/2025,1.645409,BGN,USD
1/2/2025,1.660964,BAM,USD
1/2/2025,1.674568,NZD,USD
1/2/2025,1.70114,AZN,USD
1/2/2025,1.79,ANG,USD
1/2/2025,1.79,AWG,USD
1/2/2025,1.79,XCG,USD
1/2/2025,2,BBD,USD
1/2/2025,2,BZD,USD
1/2/2025,2.19658,FJD,USD
1/2/2025,2.36102,TOP,USD
1/2/2025,2.675699,GEL,USD
1/2/2025,2.685744,WST,USD
1/2/2025,2.7,XCD,USD
1/2/2025,2.856494,BYN,USD
1/2/2025,2.869949,TND,USD
1/2/2025,3.12571,ILS,USD
1/2/2025,3.357835,PEN,USD
1/2/2025,3.499984,TMT,USD
1/2/2025,3.584799,PLN,USD
1/2/2025,3.64,QAR,USD
1/2/2025,3.6725,AED,USD
1/2/2025,3.75,SAR,USD
1/2/2025,3.904187,MYR,USD
1/2/2025,4.331594,RON,USD
1/2/2025,4.334138,PGK,USD
1/2/2025,5.214159,BRL,USD
1/2/2025,6.309079,LYD,USD
1/2/2025,6.336891,FOK,USD
1/2/2025,6.336892,DKK,USD
1/2/2025,6.398579,HRK,USD
1/2/2025,6.752101,TTD,USD
1/2/2025,6.901452,CNH,USD
1/2/2025,6.924226,CNY,USD
1/2/2025,6.940242,BOB,USD
1/2/2025,7.684123,GTQ,USD
1/2/2025,7.814823,HKD,USD
1/2/2025,7.960413,SBD,USD
1/2/2025,8.049267,MOP,USD
1/2/2025,9.064329,SEK,USD
1/2/2025,9.166742,MAD,USD
1/2/2025,9.390341,TJS,USD
1/2/2025,9.541676,NOK,USD
1/2/2025,10.967993,GHS,USD
1/2/2025,13.609743,BWP,USD
1/2/2025,13.875248,SCR,USD
1/2/2025,15,ERN,USD
1/2/2025,15.461054,MVR,USD
1/2/2025,16.078974,LSL,USD
1/2/2025,16.078974,NAD,USD
1/2/2025,16.078974,SZL,USD
1/2/2025,16.079081,ZAR,USD
1/2/2025,17.078774,MDL,USD
1/2/2025,17.171075,MXN,USD
1/2/2025,18.817496,ZMW,USD
1/2/2025,20.586135,CZK,USD
1/2/2025,20.806317,STN,USD
1/2/2025,24,CUP,USD
1/2/2025,24.455372,SLE,USD
1/2/2025,25.5384,ZWG,USD
1/2/2025,25.5384,ZWL,USD
1/2/2025,26.499845,HNL,USD
1/2/2025,31.181157,THB,USD
1/2/2025,31.538255,TWD,USD
1/2/2025,36.868971,NIO,USD
1/2/2025,37.719144,SRD,USD
1/2/2025,38.809648,UYU,USD
1/2/2025,40.007857,MRU,USD
1/2/2025,43.30399,UAH,USD
1/2/2025,43.863286,TRY,USD
1/2/2025,46.294283,MUR,USD
1/2/2025,47.551592,EGP,USD
1/2/2025,52.399289,MKD,USD
1/2/2025,58.082763,PHP,USD
1/2/2025,61.680478,DOP,USD
1/2/2025,62.904711,AFN,USD
1/2/2025,63.566886,MZN,USD
1/2/2025,74.121585,GMD,USD
1/2/2025,76.827629,RUB,USD
1/2/2025,81.771589,ALL,USD
1/2/2025,87.445847,KGS,USD
1/2/2025,90.963772,BTN,USD
1/2/2025,90.97147,INR,USD
1/2/2025,93.641164,CVE,USD
1/2/2025,99.713133,RSD,USD
1/2/2025,101.3412,XPF,USD
1/2/2025,114.081388,SYP,USD
1/2/2025,118.665876,VUV,USD
1/2/2025,122.265987,BDT,USD
1/2/2025,123.114577,ISK,USD
1/2/2025,128.972179,KES,USD
1/2/2025,130.057024,DZD,USD
1/2/2025,131.27553,HTG,USD
1/2/2025,145.542035,NPR,USD
1/2/2025,154.853271,ETB,USD
1/2/2025,155.142068,JPY,USD
1/2/2025,156.074498,JMD,USD
1/2/2025,177.721,DJF,USD
1/2/2025,185.939296,LRD,USD
1/2/2025,209.233373,GYD,USD
1/2/2025,238.655171,YER,USD
1/2/2025,279.926948,PKR,USD
1/2/2025,309.299403,LKR,USD
1/2/2025,322.619982,HUF,USD
1/2/2025,376.973964,AMD,USD
1/2/2025,405.3518,VES,USD
1/2/2025,417.797424,KMF,USD
1/2/2025,482.13856,CRC,USD
1/2/2025,492.715249,KZT,USD
1/2/2025,508.876436,SDG,USD
1/2/2025,557.063232,XAF,USD
1/2/2025,557.063232,XOF,USD
1/2/2025,570.820515,SOS,USD
1/2/2025,864.50335,CLP,USD
1/2/2025,921.259103,AOA,USD
1/2/2025,"1,310.75",IQD,USD
1/2/2025,"1,346.19",NGN,USD
1/2/2025,"1,447.95",KRW,USD
1/2/2025,"1,452.25",ARS,USD
1/2/2025,"1,461.88",RWF,USD
1/2/2025,"1,744.80",MWK,USD
1/2/2025,"2,105.71",MMK,USD
1/2/2025,"2,281.70",CDF,USD
1/2/2025,"2,578.95",TZS,USD
1/2/2025,"2,972.95",BIF,USD
1/2/2025,"3,540.05",MNT,USD
1/2/2025,"3,566.32",UGX,USD
1/2/2025,"3,676.84",COP,USD
1/2/2025,"4,018.27",KHR,USD
1/2/2025,"4,324.00",MGA,USD
1/2/2025,"4,582.89",SSP,USD
1/2/2025,"6,536.21",PYG,USD
1/2/2025,"8,763.96",GNF,USD
1/2/2025,"12,205.51",UZS,USD
1/2/2025,"16,878.67",IDR,USD
1/2/2025,"21,646.89",LAK,USD
1/2/2025,"24,455.37",SLL,USD
1/2/2025,"25,903.90",VND,USD
1/2/2025,"89,500",LBP,USD
1/2/2025,"1,284,674.49",IRR,USD
1/3/2025,0.021871,CLF,USD
1/3/2025,0.306704,KWD,USD
1/3/2025,0.376,BHD,USD
1/3/2025,0.384497,OMR,USD
1/3/2025,0.709,JOD,USD
1/3/2025,0.727367,XDR,USD
1/3/2025,0.742016,FKP,USD
1/3/2025,0.742016,GGP,USD
1/3/2025,0.742016,GIP,USD
1/3/2025,0.742016,IMP,USD
1/3/2025,0.742016,JEP,USD
1/3/2025,0.742016,SHP,USD
1/3/2025,0.742017,GBP,USD
1/3/2025,0.775885,CHF,USD
1/3/2025,0.833333,KYD,USD
1/3/2025,0.849238,EUR,USD
1/3/2025,1,USD,USD
1/3/2025,1,BMD,USD
1/3/2025,1,BSD,USD
1/3/2025,1,PAB,USD
1/3/2025,1.267892,BND,USD
1/3/2025,1.267892,SGD,USD
1/3/2025,1.368325,CAD,USD
1/3/2025,1.415036,KID,USD
1/3/2025,1.415036,TVD,USD
1/3/2025,1.415042,AUD,USD
1/3/2025,1.645409,BGN,USD
1/3/2025,1.660964,BAM,USD
1/3/2025,1.674568,NZD,USD
1/3/2025,1.70114,AZN,USD
1/3/2025,1.79,ANG,USD
1/3/2025,1.79,AWG,USD
1/3/2025,1.79,XCG,USD
1/3/2025,2,BBD,USD
1/3/2025,2,BZD,USD
1/3/2025,2.19658,FJD,USD
1/3/2025,2.36102,TOP,USD
1/3/2025,2.675699,GEL,USD
1/3/2025,2.685744,WST,USD
1/3/2025,2.7,XCD,USD
1/3/2025,2.856494,BYN,USD
1/3/2025,2.869949,TND,USD
1/3/2025,3.12571,ILS,USD
1/3/2025,3.357835,PEN,USD
1/3/2025,3.499984,TMT,USD
1/3/2025,3.584799,PLN,USD
1/3/2025,3.64,QAR,USD
1/3/2025,3.6725,AED,USD
1/3/2025,3.75,SAR,USD
1/3/2025,3.904187,MYR,USD
1/3/2025,4.331594,RON,USD
1/3/2025,4.334138,PGK,USD
1/3/2025,5.214159,BRL,USD
1/3/2025,6.309079,LYD,USD
1/3/2025,6.336891,FOK,USD
1/3/2025,6.336892,DKK,USD
1/3/2025,6.398579,HRK,USD
1/3/2025,6.752101,TTD,USD
1/3/2025,6.901452,CNH,USD
1/3/2025,6.924226,CNY,USD
1/3/2025,6.940242,BOB,USD
1/3/2025,7.684123,GTQ,USD
1/3/2025,7.814823,HKD,USD
1/3/2025,7.960413,SBD,USD
1/3/2025,8.049267,MOP,USD
1/3/2025,9.064329,SEK,USD
1/3/2025,9.166742,MAD,USD
1/3/2025,9.390341,TJS,USD
1/3/2025,9.541676,NOK,USD
1/3/2025,10.967993,GHS,USD
1/3/2025,13.609743,BWP,USD
1/3/2025,13.875248,SCR,USD
1/3/2025,15,ERN,USD
1/3/2025,15.461054,MVR,USD
1/3/2025,16.078974,LSL,USD
1/3/2025,16.078974,NAD,USD
1/3/2025,16.078974,SZL,USD
1/3/2025,16.079081,ZAR,USD
1/3/2025,17.078774,MDL,USD
1/3/2025,17.171075,MXN,USD
1/3/2025,18.817496,ZMW,USD
1/3/2025,20.586135,CZK,USD
1/3/2025,20.806317,STN,USD
1/3/2025,24,CUP,USD
1/3/2025,24.455372,SLE,USD
1/3/2025,25.5384,ZWG,USD
1/3/2025,25.5384,ZWL,USD
1/3/2025,26.499845,HNL,USD
1/3/2025,31.181157,THB,USD
1/3/2025,31.538255,TWD,USD
1/3/2025,36.868971,NIO,USD
1/3/2025,37.719144,SRD,USD
1/3/2025,38.809648,UYU,USD
1/3/2025,40.007857,MRU,USD
1/3/2025,43.30399,UAH,USD
1/3/2025,43.863286,TRY,USD
1/3/2025,46.294283,MUR,USD
1/3/2025,47.551592,EGP,USD
1/3/2025,52.399289,MKD,USD
1/3/2025,58.082763,PHP,USD
1/3/2025,61.680478,DOP,USD
1/3/2025,62.904711,AFN,USD
1/3/2025,63.566886,MZN,USD
1/3/2025,74.121585,GMD,USD
1/3/2025,76.827629,RUB,USD
1/3/2025,81.771589,ALL,USD
1/3/2025,87.445847,KGS,USD
1/3/2025,90.963772,BTN,USD
1/3/2025,90.97147,INR,USD
1/3/2025,93.641164,CVE,USD
1/3/2025,99.713133,RSD,USD
1/3/2025,101.3412,XPF,USD
1/3/2025,114.081388,SYP,USD
1/3/2025,118.665876,VUV,USD
1/3/2025,122.265987,BDT,USD
1/3/2025,123.114577,ISK,USD
1/3/2025,128.972179,KES,USD
1/3/2025,130.057024,DZD,USD
1/3/2025,131.27553,HTG,USD
1/3/2025,145.542035,NPR,USD
1/3/2025,154.853271,ETB,USD
1/3/2025,155.142068,JPY,USD
1/3/2025,156.074498,JMD,USD
1/3/2025,177.721,DJF,USD
1/3/2025,185.939296,LRD,USD
1/3/2025,209.233373,GYD,USD
1/3/2025,238.655171,YER,USD
1/3/2025,279.926948,PKR,USD
1/3/2025,309.299403,LKR,USD
1/3/2025,322.619982,HUF,USD
1/3/2025,376.973964,AMD,USD
1/3/2025,405.3518,VES,USD
1/3/2025,417.797424,KMF,USD
1/3/2025,482.13856,CRC,USD
1/3/2025,492.715249,KZT,USD
1/3/2025,508.876436,SDG,USD
1/3/2025,557.063232,XAF,USD
1/3/2025,557.063232,XOF,USD
1/3/2025,570.820515,SOS,USD
1/3/2025,864.50335,CLP,USD
1/3/2025,921.259103,AOA,USD
1/3/2025,"1,310.75",IQD,USD
1/3/2025,"1,346.19",NGN,USD
1/3/2025,"1,447.95",KRW,USD
1/3/2025,"1,452.25",ARS,USD
1/3/2025,"1,461.88",RWF,USD
1/3/2025,"1,744.80",MWK,USD
1/3/2025,"2,105.71",MMK,USD
1/3/2025,"2,281.70",CDF,USD
1/3/2025,"2,578.95",TZS,USD
1/3/2025,"2,972.95",BIF,USD
1/3/2025,"3,540.05",MNT,USD
1/3/2025,"3,566.32",UGX,USD
1/3/2025,"3,676.84",COP,USD
1/3/2025,"4,018.27",KHR,USD
1/3/2025,"4,324.00",MGA,USD
1/3/2025,"4,582.89",SSP,USD
1/3/2025,"6,536.21",PYG,USD
1/3/2025,"8,763.96",GNF,USD
1/3/2025,"12,205.51",UZS,USD
1/3/2025,"16,878.67",IDR,USD
1/3/2025,"21,646.89",LAK,USD
1/3/2025,"24,455.37",SLL,USD
1/3/2025,"25,903.90",VND,USD
1/3/2025,"89,500",LBP,USD
1/3/2025,"1,284,674.49",IRR,USD
1/4/2025,0.021871,CLF,USD
